bikeid,facilitycl,street,fromstreet,tostreet,instdate,moddate,yr,,,Modification Year,Counts Missing
7,I,1 AV,E 124 ST,E 125 ST,2013-10-18,2016-10-06,2016,,,2016,154
29,II,2 AV,E 2 ST,E HOUSTON ST,2007-10-01,2016-12-20,2016,,,2015,139
39,I,4 AV,E 12 ST,E 14 ST,1994-05-01,2016-09-26,2016,,,2014,107
99,I,AV OF THE AMERICAS,W 8 ST,W 13 ST,1978-07-01,2016-11-12,2016,,,2013,175
197,I,CHRYSTIE ST,E HOUSTON ST,RIVINGTON ST,2008-10-30,2016-12-20,2016,,,2012,118
198,II,CHRYSTIE ST,E HOUSTON ST,E HOUSTON ST,2008-10-30,2016-12-20,2016,,,2011,83
199,I,CHRYSTIE ST,RIVINGTON ST,HESTER ST,2008-10-30,2016-12-20,2016,,,2010,129
227,III,DYCKMAN ST,BROADWAY,SEAMAN AV,2003-06-01,2016-11-01,2016,,,2009,187
247,I,E 17 ST,UNION SQ E,UNION SQ W,2010-09-01,2016-10-18,2016,,,,
505,III,UNION SQ S,E 15 ST,UNION SQ E,2010-09-01,2016-09-26,2016,,,,
563,III,W 42 ST,7 AV,BROADWAY,2009-11-01,2016-12-13,2016,,,,
955,III,7 AV,41 ST,42 ST,2001-11-01,2016-04-01,2016,,,,
1012,II,BOND STREET,3 ST,UNION ST,2014-08-18,2016-10-05,2016,,,,
1014,II,BOND STREET,UNION ST,DOUGLASS ST,2014-06-11,2016-10-05,2016,,,,
1210,II,GREENPOINT AVE BRIDGE,KINGSLAND AVE,REVIEW AVE,2015-06-29,2016-10-01,2016,,,,
1238,I,JAY ST,NASSAU ST,TILLARY,2004-06-01,2016-08-25,2016,,,,
1239,I,JAY ST,TILLARY ST,TILLARY ST,2008-10-01,2016-08-25,2016,,,,
1240,I,JAY ST,TILLARY ST,METROTECH RD,2008-10-03,2016-08-25,2016,,,,
1241,I,JAY ST,SANDS ST,NASSAU ST,2004-06-01,2016-08-25,2016,,,,
1260,II,LAFAYETTE AV,FULTON ST,CLASSON AV,2012-10-10,2016-06-16,2016,,,,
1286,III,MC GUINNESS BLVD,PULASKI BR,FREEMAN ST,2007-09-01,2016-04-29,2016,,,,
1401,I,PULASKI BR,EAGLE ST,JACKSON AV,1954-01-01,2016-04-29,2016,,,,
1411,II,BORINQUEN PL,RODNEY ST,MARCY AV,2009-04-01,2016-10-15,2016,,,,
1939,I,PULASKI BR,EAGLE ST,JACKSON AV,1954-01-01,2016-04-29,2016,,,,
2140,II,W 8 ST,6 AV,5 AV,2015-05-24,2016-11-18,2016,,,,
2169,I,1 AV,E 55 ST,E 56 ST,2011-07-22,2016-12-23,2016,,,,
2223,I,FOOD CENTER DR,HALLECK ST,FARRAGUT ST,2016-05-01,2016-05-01,2016,,,,
2226,II,CORNELIA ST,KNICKERBOCKER AVE,WYCKOFF AVE,2016-06-28,2016-06-28,2016,,,,
2228,II,HANCOCK ST,SENECA AVE,WYCKOFF AVE,2016-06-27,2016-06-27,2016,,,,
2229,III,WYCKOFF AVE,HANCOCK ST,HANCOCK ST,2016-07-08,2016-07-08,2016,,,,
2230,II,CATALPA AVE,WOODWARD AVE,SENECA AVE,2016-07-08,2016-07-08,2016,,,,
2231,III,SENECA AVE,CATALPA AVE,HANCOCK ST,2016-06-27,2016-06-27,2016,,,,
2232,II,CORNELIA ST,WYCKOFF AVE,WOODWARD AVE,2016-06-28,2016-06-28,2016,,,,
2234,II,NOME AVE,FRESHKILLS GWY,STEINWAY AVE,2016-07-01,2016-07-01,2016,,,,
2235,III,STEINWAY AVE,NOME AVE,TRAVIS AVE,2016-07-15,2016-07-15,2016,,,,
2236,II,TRAVIS AVE,STEINWAY AVE,KELLY BLVD,2016-07-08,2016-07-08,2016,,,,
