date,name,total,fillColor,wday
2017-01-01T00:00:00Z,1st Avenue - 26th St N,1191,Weekend,1
2017-01-02T00:00:00Z,1st Avenue - 26th St N,1267,Weekday,2
2017-01-03T00:00:00Z,1st Avenue - 26th St N,1666,Weekday,3
2017-01-04T00:00:00Z,1st Avenue - 26th St N,1747,Weekday,4
2017-01-05T00:00:00Z,1st Avenue - 26th St N,2254,Weekday,5
2017-01-06T00:00:00Z,1st Avenue - 26th St N,1684,Weekday,6
2017-01-07T00:00:00Z,1st Avenue - 26th St N,337,Weekend,7
2017-01-08T00:00:00Z,1st Avenue - 26th St N,624,Weekend,1
2017-01-09T00:00:00Z,1st Avenue - 26th St N,859,Weekday,2
2017-01-10T00:00:00Z,1st Avenue - 26th St N,1239,Weekday,3
2017-01-11T00:00:00Z,1st Avenue - 26th St N,2507,Weekday,4
2017-01-12T00:00:00Z,1st Avenue - 26th St N,2051,Weekday,5
2017-01-13T00:00:00Z,1st Avenue - 26th St N,1986,Weekday,6
2017-01-14T00:00:00Z,1st Avenue - 26th St N,1041,Weekend,7
2017-01-15T00:00:00Z,1st Avenue - 26th St N,1211,Weekend,1
2017-01-16T00:00:00Z,1st Avenue - 26th St N,1751,Weekday,2
2017-01-17T00:00:00Z,1st Avenue - 26th St N,1494,Weekday,3
2017-01-18T00:00:00Z,1st Avenue - 26th St N,1664,Weekday,4
2017-01-19T00:00:00Z,1st Avenue - 26th St N,2048,Weekday,5
2017-01-20T00:00:00Z,1st Avenue - 26th St N,1487,Weekday,6
2017-01-21T00:00:00Z,1st Avenue - 26th St N,1848,Weekend,7
2017-01-22T00:00:00Z,1st Avenue - 26th St N,1147,Weekend,1
2017-01-23T00:00:00Z,1st Avenue - 26th St N,1093,Weekday,2
2017-01-24T00:00:00Z,1st Avenue - 26th St N,993,Weekday,3
2017-01-25T00:00:00Z,1st Avenue - 26th St N,2212,Weekday,4
2017-01-26T00:00:00Z,1st Avenue - 26th St N,1694,Weekday,5
2017-01-27T00:00:00Z,1st Avenue - 26th St N,1871,Weekday,6
2017-01-28T00:00:00Z,1st Avenue - 26th St N,1318,Weekend,7
2017-01-29T00:00:00Z,1st Avenue - 26th St N,1326,Weekend,1
