Corridor,street,From,To,Borough,Project_Miles_Total,Sharrows,1-Way Conventional,2-Way Conventional,1-Way PBL,2-Way PBL,2-Way Path
Astoria Bike Network Development,21 STREET,Astoria Park South,Queens Plaza Nrth,Q,1.88,,1.88,,,,
Astoria Bike Network Development,22 STREET,Queens Plaza N,36th Ave,Q,0.63,,0.63,,,,
Astoria Bike Network Development,23 AVENUE,19th St,43rd St,Q,1.01,,,1.01,,,
Astoria Bike Network Development,23 STREET,Queens Plaza N,36th Ave,Q,0.64,,0.64,,,,
Astoria Bike Network Development,24 STREET,Hoyt Ave North,20th Ave,Q,0.83,,0.83,,,,
Astoria Bike Network Development,32 STREET,39th Ave,38th Ave,Q,0.09,0.09,,,,,
Astoria Bike Network Development,36 AVENUE,Vernon Blvd,Steinway St,Q,1.18,,1.18,,,,
Astoria Bike Network Development,38 AVENUE,32nd St,28th St,Q,0.20,,0.2,,0.2,,
Astoria Bike Network Development,39 AVENUE,28th St,31st St,Q,0.15,,0.15,,,,
Astoria Bike Network Development,39 AVENUE,31st ST,32 St,Q,0.05,0.05,,,,,
Astoria Bike Network Development,39 AVENUE,Northern Blvd,32nd St,Q,0.03,,0.03,,,,
Astoria Bike Network Development,42 STREET,20th Ave,23rd Ave,Q,0.50,,,,0.5,,
Astoria Bike Network Development,43 STREET,34th Ave,Astoria Blvd S,Q,1.04,,1.04,,,,
Astoria Bike Network Development,43 STREET,Astoria Blvd N,20th Ave,Q,0.56,,0.56,,,,
Astoria Bike Network Development,44 STREET,Astoria Blvd N,Astoria Blvd S,Q,0.02,,0.02,,,,
Astoria Bike Network Development,44 STREET,Astoria Blvd S,34th Ave,Q,1.06,,1.06,,,,
Astoria Bike Network Development,ASTORIA BOULEVARD,Vernon Blvd,31 St,Q,0.81,,0.81,,,,
Astoria Bike Network Development,ASTORIA BOULEVARD SOUTH,44th St,43rd St,Q,0.05,0.87,,,,,
Astoria Bike Network Development,CRESCENT STREET,Hoyt Ave North,20th Ave,Q,0.87,,,0.87,,,
Astoria Bike Network Development,DITMARS BOULEVARD,Shore Blvd,81 St,Q,2.16,,,2.16,,,2.16
Astoria Bike Network Development,HOBART STREET,28 Ave,31 Av,Q,0.34,,,0.34,,,
