date,name,total,fillColor,wday
2020-01-01T00:00:00Z,8th Ave at 50th St.,1643,Weekday,4
2020-01-01T00:00:00Z,Amsterdam Ave at 86th St.,1019,Weekday,4
2020-01-01T00:00:00Z,Broadway at 50th St,0,Weekday,4
2020-01-01T00:00:00Z,Brooklyn Bridge Bike Path,254,Weekday,4
2020-01-01T00:00:00Z,Columbus Ave at 86th St.,766,Weekday,4
2020-01-01T00:00:00Z,Ed Koch Queensboro Bridge Shared Path,1075,Weekday,4
2020-01-01T00:00:00Z,Kent Avenue Bike Path,722,Weekday,4
2020-01-01T00:00:00Z,Manhattan Bridge Display Bike Counter,1030,Weekday,4
2020-01-01T00:00:00Z,Manhattan Bridge Ped Path,71,Weekday,4
2020-01-01T00:00:00Z,Prospect Park West,1175,Weekday,4
2020-01-01T00:00:00Z,Pulaski Bridge,443,Weekday,4
2020-01-01T00:00:00Z,Staten Island Ferry,154,Weekday,4
2020-01-01T00:00:00Z,Williamsburg Bridge Bike Path,1240,Weekday,4
2020-01-02T00:00:00Z,8th Ave at 50th St.,2837,Weekday,5
2020-01-02T00:00:00Z,Amsterdam Ave at 86th St.,1300,Weekday,5
2020-01-02T00:00:00Z,Broadway at 50th St,0,Weekday,5
2020-01-02T00:00:00Z,Brooklyn Bridge Bike Path,924,Weekday,5
2020-01-02T00:00:00Z,Columbus Ave at 86th St.,1043,Weekday,5
2020-01-02T00:00:00Z,Ed Koch Queensboro Bridge Shared Path,2743,Weekday,5
2020-01-02T00:00:00Z,Kent Avenue Bike Path,1352,Weekday,5
2020-01-02T00:00:00Z,Manhattan Bridge Display Bike Counter,3046,Weekday,5
2020-01-02T00:00:00Z,Manhattan Bridge Ped Path,113,Weekday,5
2020-01-02T00:00:00Z,Prospect Park West,1695,Weekday,5
2020-01-02T00:00:00Z,Pulaski Bridge,1212,Weekday,5
2020-01-02T00:00:00Z,Staten Island Ferry,299,Weekday,5
2020-01-02T00:00:00Z,Williamsburg Bridge Bike Path,3247,Weekday,5
2020-01-03T00:00:00Z,8th Ave at 50th St.,2446,Weekday,6
2020-01-03T00:00:00Z,Amsterdam Ave at 86th St.,1326,Weekday,6
2020-01-03T00:00:00Z,Broadway at 50th St,1034,Weekday,6
2020-01-03T00:00:00Z,Brooklyn Bridge Bike Path,487,Weekday,6
2020-01-03T00:00:00Z,Columbus Ave at 86th St.,1010,Weekday,6
2020-01-03T00:00:00Z,Ed Koch Queensboro Bridge Shared Path,1955,Weekday,6
