,counter,domain,site,installationDate,interval,latitude,longitude,name,photos,sens,timezone
0,,New York City DOT,100005020,2012-08-31T00:00:00-0400,15,40.69981,-73.98589,Manhattan Bridge 2012 Test Bike Counter,"['13463420261770.JPG', '13505093868750.JPG']",0,(UTC-05:00) US/Eastern;DST
1,,New York City DOT,100009424,2015-05-22T00:00:00-0400,15,40.73971,-73.97954,2nd Avenue - 26th St S,['15303799974400.jpg'],0,(UTC-05:00) US/Eastern;DST
2,Y2H13094304,New York City DOT,100009425,2016-11-07T00:00:00-0500,15,40.671288458102666,-73.97138165085187,Prospect Park West ,['15303762168050.jpg'],0,(UTC-05:00) US/Eastern;DST
3,Y2H13074107,New York City DOT,100009426,2013-12-04T00:00:00-0500,15,40.714573,-73.99495,Manhattan Bridge Ped Path,['15303806985970.jpg'],0,(UTC-05:00) US/Eastern;DST
4,Y2H13074108,New York City DOT,100009427,2013-12-03T00:00:00-0500,15,40.71053,-73.96145,Williamsburg Bridge Bike Path,['15303805034700.jpg'],0,(UTC-05:00) US/Eastern;DST
5,Y2H19111445,New York City DOT,100009428,2013-12-04T00:00:00-0500,15,40.751038,-73.94082,Ed Koch Queensboro Bridge Shared Path,['15303797709980.jpg'],0,(UTC-05:00) US/Eastern;DST
6,,New York City DOT,100009429,2013-12-03T00:00:00-0500,15,40.699768,-73.98582,Manhattan Bridge 2013 to 2018 Bike Counter,"['15303812181160.jpg', '15303812316240.jpg']",0,(UTC-05:00) US/Eastern;DST
7,Y2H13094300,New York City DOT,100010017,2016-03-31T00:00:00-0400,15,40.643387,-74.072075,Staten Island Ferry,['14649704443850.jpg'],0,(UTC-05:00) US/Eastern;DST
8,Y2H13094301,New York City DOT,100010018,2017-06-24T00:00:00-0400,15,40.742563,-73.9514924,Pulaski Bridge ,"['15303792395000.jpg', '15303793891970.jpg']",0,(UTC-05:00) US/Eastern;DST
9,Y2H13094302,New York City DOT,100010019,2016-11-22T00:00:00-0500,15,40.720959193834354,-73.9609303061573,Kent Ave btw North 8th St and North 9th St,"['15303789052740.jpg', '15303790817790.jpg']",0,(UTC-05:00) US/Eastern;DST
10,Y2H18044984,New York City DOT,100010020,1900-01-01T00:00:00-0500,15,40.73883,-73.977165,1st Avenue - 26th St N - Interference testing,"['14711270338620.jpeg', '15303802054370.jpg']",0,(UTC-05:00) US/Eastern;DST
11,Y2H13074106,New York City DOT,100010022,2013-12-19T00:00:00-0500,15,40.709274,-74.00099,Brooklyn Bridge Bike Path,"['13956734246450.jpg', '14711265991611.jpeg', '14711265997140.jpeg', '15303810658440.jpg']",0,(UTC-05:00) US/Eastern;DST
12,,New York City DOT,100039064,2018-01-23T00:00:00-0500,15,40.71562304644138,-73.99474407997337,Forsyth Plaza,[],0,(UTC-05:00) US/Eastern;DST
13,Y2H17062567,New York City DOT,100047029,2018-06-01T00:00:00-0400,15,40.7156,-73.99475,Manhattan Bridge Display Bike Counter,[],0,(UTC-05:00) US/Eastern;DST
14,Y2H13074109,New York City DOT,100048744,1900-01-01T00:00:00-0500,15,0.0,0.0,Manhattan Bridge Interference Calibration 2018 Bike Counter,[],0,(UTC-05:00) US/Eastern;DST
15,,New York City DOT,100051865,2012-08-31T00:00:00-0400,15,40.69981,-73.98589,Manhattan Bridge 2012 to 2019 Bike Counter,[],0,(UTC-05:00) US/Eastern;DST
16,Y2H13074105,New York City DOT,100055175,1900-01-01T00:00:00-0500,15,0.0,0.0,Manhattan Bridge Interference Calibration 2019 Bike Counter,[],0,(UTC-05:00) US/Eastern;DST
17,Y2H18055363,New York City DOT,100057316,2018-06-14T00:00:00-0400,15,40.76234843823216,-73.98612032425785,8th Ave at 50th St.,['15759243975170.png'],0,(UTC-05:00) US/Eastern;DST
18,Y2H18055362,New York City DOT,100057318,2019-06-14T00:00:00-0400,15,40.76138,-73.98408,Broadway at 50th St,['15759249713180.jpg'],0,(UTC-05:00) US/Eastern;DST
19,Y2H18055357,New York City DOT,100057319,2019-10-24T00:00:00-0400,15,40.787745,-73.975021,Amsterdam Ave at 86th St.,['15759260794880.jpg'],0,(UTC-05:00) US/Eastern;DST
20,Y2H18055356,New York City DOT,100057320,2019-10-24T00:00:00-0400,15,40.787745,-73.975021,Columbus Ave at 86th St.,['15759270430830.jpg'],0,(UTC-05:00) US/Eastern;DST
21,,New York City DOT,100058279,2014-08-14T00:00:00-0400,15,40.711282432675226,-73.96838606913825,Kent Ave btw South 6th St. and Broadway,[],0,(UTC-05:00) US/Eastern;DST
22,Y2H17062567,New York City DOT,100062893,2012-08-31T00:00:00-0400,15,40.7156,-73.99475,Manhattan Bridge Bike Comprehensive,[],0,(UTC-05:00) US/Eastern;DST
