,datetime,counts,weekend_counts,weekday_counts,name,sens,counter
100009427,2014-01-31,41642.0,7386.0,34256.0,Williamsburg Bridge Bike Path,0,Y2H13074108
100009428,2014-01-31,27011.0,4710.0,22301.0,Ed Koch Queensboro Bridge Shared Path,0,Y2H19111445
100009426,2014-01-31,1219.0,277.0,942.0,Manhattan Bridge Ped Path,0,Y2H13074107
100010022,2014-01-31,14584.0,2032.0,12552.0,Brooklyn Bridge Bike Path,0,Y2H13074106
100009427,2014-02-28,34232.0,11615.0,22617.0,Williamsburg Bridge Bike Path,0,Y2H13074108
100009428,2014-02-28,22084.0,7220.0,14864.0,Ed Koch Queensboro Bridge Shared Path,0,Y2H19111445
100009426,2014-02-28,1095.0,448.0,647.0,Manhattan Bridge Ped Path,0,Y2H13074107
100010022,2014-02-28,10515.0,3731.0,6784.0,Brooklyn Bridge Bike Path,0,Y2H13074106
100009427,2014-03-31,74067.0,22480.0,51587.0,Williamsburg Bridge Bike Path,0,Y2H13074108
100009428,2014-03-31,49168.0,14003.0,35165.0,Ed Koch Queensboro Bridge Shared Path,0,Y2H19111445
100010022,2014-03-31,28579.0,7803.0,20776.0,Brooklyn Bridge Bike Path,0,Y2H13074106
100009426,2014-03-31,1992.0,702.0,1290.0,Manhattan Bridge Ped Path,0,Y2H13074107
100009428,2014-04-30,89175.0,24274.0,64901.0,Ed Koch Queensboro Bridge Shared Path,0,Y2H19111445
100009426,2014-04-30,3539.0,1216.0,2323.0,Manhattan Bridge Ped Path,0,Y2H13074107
100010022,2014-04-30,63419.0,18704.0,44715.0,Brooklyn Bridge Bike Path,0,Y2H13074106
100009427,2014-04-30,134126.0,37830.0,96296.0,Williamsburg Bridge Bike Path,0,Y2H13074108
100009426,2014-05-31,4569.0,1560.0,3009.0,Manhattan Bridge Ped Path,0,Y2H13074107
100010022,2014-05-31,90960.0,27539.0,63421.0,Brooklyn Bridge Bike Path,0,Y2H13074106
100009428,2014-05-31,117828.0,31996.0,85832.0,Ed Koch Queensboro Bridge Shared Path,0,Y2H19111445
100009427,2014-05-31,181350.0,51253.0,130097.0,Williamsburg Bridge Bike Path,0,Y2H13074108
100009427,2014-06-30,201030.0,58798.0,142232.0,Williamsburg Bridge Bike Path,0,Y2H13074108
100009426,2014-06-30,4845.0,1669.0,3176.0,Manhattan Bridge Ped Path,0,Y2H13074107
100010022,2014-06-30,95570.0,29615.0,65955.0,Brooklyn Bridge Bike Path,0,Y2H13074106
100009428,2014-06-30,133457.0,38512.0,94945.0,Ed Koch Queensboro Bridge Shared Path,0,Y2H19111445
100009427,2014-07-31,204908.0,45068.0,159840.0,Williamsburg Bridge Bike Path,0,Y2H13074108
100009428,2014-07-31,141555.0,31397.0,110158.0,Ed Koch Queensboro Bridge Shared Path,0,Y2H19111445
100010022,2014-07-31,94247.0,23297.0,70950.0,Brooklyn Bridge Bike Path,0,Y2H13074106
100009426,2014-07-31,5357.0,1601.0,3756.0,Manhattan Bridge Ped Path,0,Y2H13074107
100009426,2014-08-31,4827.0,1557.0,3270.0,Manhattan Bridge Ped Path,0,Y2H13074107
100009427,2014-08-31,209122.0,53169.0,155953.0,Williamsburg Bridge Bike Path,0,Y2H13074108
100010022,2014-08-31,98385.0,31684.0,66701.0,Brooklyn Bridge Bike Path,0,Y2H13074106
100009428,2014-08-31,148433.0,39597.0,108836.0,Ed Koch Queensboro Bridge Shared Path,0,Y2H19111445
100009426,2014-09-30,3604.0,1013.0,2591.0,Manhattan Bridge Ped Path,0,Y2H13074107
100009427,2014-09-30,197308.0,42202.0,155106.0,Williamsburg Bridge Bike Path,0,Y2H13074108
100009428,2014-09-30,139004.0,31049.0,107955.0,Ed Koch Queensboro Bridge Shared Path,0,Y2H19111445
100010022,2014-09-30,40813.0,9852.0,30961.0,Brooklyn Bridge Bike Path,0,Y2H13074106
100009428,2014-10-31,113054.0,22009.0,91045.0,Ed Koch Queensboro Bridge Shared Path,0,Y2H19111445
100009426,2014-10-31,3005.0,825.0,2180.0,Manhattan Bridge Ped Path,0,Y2H13074107
100009427,2014-10-31,164518.0,32132.0,132386.0,Williamsburg Bridge Bike Path,0,Y2H13074108
100009427,2014-11-30,96011.0,23944.0,72067.0,Williamsburg Bridge Bike Path,0,Y2H13074108
100009428,2014-11-30,70225.0,17148.0,53077.0,Ed Koch Queensboro Bridge Shared Path,0,Y2H19111445
100009426,2014-11-30,1922.0,588.0,1334.0,Manhattan Bridge Ped Path,0,Y2H13074107
100009428,2014-12-31,51376.0,10252.0,41124.0,Ed Koch Queensboro Bridge Shared Path,0,Y2H19111445
100009427,2014-12-31,64482.0,12736.0,51746.0,Williamsburg Bridge Bike Path,0,Y2H13074108
100010022,2014-12-31,12739.0,2140.0,10599.0,Brooklyn Bridge Bike Path,0,Y2H13074106
100009426,2014-12-31,1707.0,403.0,1304.0,Manhattan Bridge Ped Path,0,Y2H13074107
100009428,2015-01-31,33899.0,6988.0,26911.0,Ed Koch Queensboro Bridge Shared Path,0,Y2H19111445
100009426,2015-01-31,1270.0,302.0,968.0,Manhattan Bridge Ped Path,0,Y2H13074107
100009427,2015-01-31,42082.0,7857.0,34225.0,Williamsburg Bridge Bike Path,0,Y2H13074108
100010022,2015-01-31,14563.0,2104.0,12459.0,Brooklyn Bridge Bike Path,0,Y2H13074106
100009428,2015-02-28,21320.0,4846.0,16474.0,Ed Koch Queensboro Bridge Shared Path,0,Y2H19111445
100010022,2015-02-28,7743.0,1499.0,6244.0,Brooklyn Bridge Bike Path,0,Y2H13074106
100009427,2015-02-28,25476.0,5704.0,19772.0,Williamsburg Bridge Bike Path,0,Y2H13074108
100009426,2015-02-28,871.0,230.0,641.0,Manhattan Bridge Ped Path,0,Y2H13074107
100009426,2015-03-31,1739.0,416.0,1323.0,Manhattan Bridge Ped Path,0,Y2H13074107
100009428,2015-03-31,49678.0,10359.0,39319.0,Ed Koch Queensboro Bridge Shared Path,0,Y2H19111445
100010022,2015-03-31,24136.0,4076.0,20060.0,Brooklyn Bridge Bike Path,0,Y2H13074106
100009427,2015-03-31,63081.0,12750.0,50331.0,Williamsburg Bridge Bike Path,0,Y2H13074108
100009426,2015-04-30,3687.0,1275.0,2412.0,Manhattan Bridge Ped Path,0,Y2H13074107
100010022,2015-04-30,63996.0,17331.0,46665.0,Brooklyn Bridge Bike Path,0,Y2H13074106
100009427,2015-04-30,150915.0,41781.0,109134.0,Williamsburg Bridge Bike Path,0,Y2H13074108
100009428,2015-04-30,104776.0,26821.0,77955.0,Ed Koch Queensboro Bridge Shared Path,0,Y2H19111445
100009428,2015-05-31,147090.0,38400.0,108690.0,Ed Koch Queensboro Bridge Shared Path,0,Y2H19111445
100009426,2015-05-31,5392.0,1864.0,3528.0,Manhattan Bridge Ped Path,0,Y2H13074107
100010022,2015-05-31,104923.0,31072.0,73851.0,Brooklyn Bridge Bike Path,0,Y2H13074106
100009427,2015-05-31,219451.0,63917.0,155534.0,Williamsburg Bridge Bike Path,0,Y2H13074108
100009428,2015-06-30,132559.0,27117.0,105442.0,Ed Koch Queensboro Bridge Shared Path,0,Y2H19111445
100009427,2015-06-30,186394.0,39361.0,147033.0,Williamsburg Bridge Bike Path,0,Y2H13074108
100009426,2015-06-30,5006.0,1436.0,3570.0,Manhattan Bridge Ped Path,0,Y2H13074107
100010022,2015-06-30,87084.0,19478.0,67606.0,Brooklyn Bridge Bike Path,0,Y2H13074106
100010022,2015-07-31,100718.0,22844.0,77874.0,Brooklyn Bridge Bike Path,0,Y2H13074106
100009428,2015-07-31,148505.0,30394.0,118111.0,Ed Koch Queensboro Bridge Shared Path,0,Y2H19111445
100009427,2015-07-31,203282.0,40065.0,163217.0,Williamsburg Bridge Bike Path,0,Y2H13074108
100009426,2015-07-31,6282.0,1666.0,4616.0,Manhattan Bridge Ped Path,0,Y2H13074107
100009427,2015-08-31,215777.0,57910.0,157867.0,Williamsburg Bridge Bike Path,0,Y2H13074108
100010022,2015-08-31,112608.0,37858.0,74750.0,Brooklyn Bridge Bike Path,0,Y2H13074106
100009428,2015-08-31,158457.0,43512.0,114945.0,Ed Koch Queensboro Bridge Shared Path,0,Y2H19111445
100009426,2015-08-31,6839.0,2437.0,4402.0,Manhattan Bridge Ped Path,0,Y2H13074107
100009426,2015-09-30,6027.0,1705.0,4322.0,Manhattan Bridge Ped Path,0,Y2H13074107
100010022,2015-09-30,101511.0,25904.0,75607.0,Brooklyn Bridge Bike Path,0,Y2H13074106
100009428,2015-09-30,149019.0,32551.0,116468.0,Ed Koch Queensboro Bridge Shared Path,0,Y2H19111445
100009427,2015-09-30,205994.0,44669.0,161325.0,Williamsburg Bridge Bike Path,0,Y2H13074108
100010022,2015-10-31,76968.0,15475.0,61493.0,Brooklyn Bridge Bike Path,0,Y2H13074106
100009427,2015-10-31,168515.0,34415.0,134100.0,Williamsburg Bridge Bike Path,0,Y2H13074108
100009428,2015-10-31,120112.0,24700.0,95412.0,Ed Koch Queensboro Bridge Shared Path,0,Y2H19111445
100009426,2015-10-31,4667.0,1236.0,3431.0,Manhattan Bridge Ped Path,0,Y2H13074107
100009426,2015-11-30,3572.0,1019.0,2553.0,Manhattan Bridge Ped Path,0,Y2H13074107
100009428,2015-11-30,96632.0,21311.0,75321.0,Ed Koch Queensboro Bridge Shared Path,0,Y2H19111445
100009427,2015-11-30,131498.0,30483.0,101015.0,Williamsburg Bridge Bike Path,0,Y2H13074108
100010022,2015-11-30,56398.0,11835.0,44563.0,Brooklyn Bridge Bike Path,0,Y2H13074106
100009428,2015-12-31,75339.0,16806.0,58533.0,Ed Koch Queensboro Bridge Shared Path,0,Y2H19111445
100009427,2015-12-31,97079.0,22083.0,74996.0,Williamsburg Bridge Bike Path,0,Y2H13074108
100010022,2015-12-31,41281.0,8674.0,32607.0,Brooklyn Bridge Bike Path,0,Y2H13074106
100009426,2015-12-31,2936.0,804.0,2132.0,Manhattan Bridge Ped Path,0,Y2H13074107
100009428,2016-01-31,48588.0,11641.0,36947.0,Ed Koch Queensboro Bridge Shared Path,0,Y2H19111445
100009426,2016-01-31,1994.0,676.0,1318.0,Manhattan Bridge Ped Path,0,Y2H13074107
100010022,2016-01-31,23132.0,4881.0,18251.0,Brooklyn Bridge Bike Path,0,Y2H13074106
100009427,2016-01-31,61041.0,15304.0,45737.0,Williamsburg Bridge Bike Path,0,Y2H13074108
100009426,2016-02-29,1959.0,607.0,1352.0,Manhattan Bridge Ped Path,0,Y2H13074107
100010022,2016-02-29,25326.0,5944.0,19382.0,Brooklyn Bridge Bike Path,0,Y2H13074106
100009427,2016-02-29,64704.0,17045.0,47659.0,Williamsburg Bridge Bike Path,0,Y2H13074108
100009428,2016-02-29,53057.0,12459.0,40598.0,Ed Koch Queensboro Bridge Shared Path,0,Y2H19111445
100009427,2016-03-31,127772.0,24514.0,103258.0,Williamsburg Bridge Bike Path,0,Y2H13074108
100010022,2016-03-31,57862.0,10401.0,47461.0,Brooklyn Bridge Bike Path,0,Y2H13074106
100009426,2016-03-31,3579.0,861.0,2718.0,Manhattan Bridge Ped Path,0,Y2H13074107
100009428,2016-03-31,95233.0,18749.0,76484.0,Ed Koch Queensboro Bridge Shared Path,0,Y2H19111445
100009426,2016-04-30,4566.0,1399.0,3167.0,Manhattan Bridge Ped Path,0,Y2H13074107
100009427,2016-04-30,145874.0,36256.0,109618.0,Williamsburg Bridge Bike Path,0,Y2H13074108
100010022,2016-04-30,68089.0,16887.0,51202.0,Brooklyn Bridge Bike Path,0,Y2H13074106
100009428,2016-04-30,100586.0,25902.0,74684.0,Ed Koch Queensboro Bridge Shared Path,0,Y2H19111445
100009428,2016-05-31,118519.0,26681.0,91838.0,Ed Koch Queensboro Bridge Shared Path,0,Y2H19111445
100010022,2016-05-31,84503.0,20350.0,64153.0,Brooklyn Bridge Bike Path,0,Y2H13074106
100009426,2016-05-31,5312.0,1610.0,3702.0,Manhattan Bridge Ped Path,0,Y2H13074107
100009427,2016-05-31,173671.0,37620.0,136051.0,Williamsburg Bridge Bike Path,0,Y2H13074108
100010022,2016-06-30,108398.0,24652.0,83746.0,Brooklyn Bridge Bike Path,0,Y2H13074106
100009427,2016-06-30,218496.0,43627.0,174869.0,Williamsburg Bridge Bike Path,0,Y2H13074108
100009426,2016-06-30,6113.0,1655.0,4458.0,Manhattan Bridge Ped Path,0,Y2H13074107
100009428,2016-06-30,144234.0,30491.0,113743.0,Ed Koch Queensboro Bridge Shared Path,0,Y2H19111445
100009427,2016-07-31,195061.0,46749.0,148312.0,Williamsburg Bridge Bike Path,0,Y2H13074108
100010022,2016-07-31,114991.0,30391.0,84600.0,Brooklyn Bridge Bike Path,0,Y2H13074106
